complaint_text,category
medical emergency is dangerously low at the city hospital.,Healthcare
theft in progress reported last night near Birendra Chowk.,Public Safety
illegal racing happened just now in the community park.,Public Safety
Urgent: bridge support is breaking apart at the intersection.,Infrastructure
illegal racing is a threat to life in the community park.,Public Safety
Urgent: illegal racing is out of control outside the mall.,Public Safety
traffic signal is gushing water near the square.,General
medical emergency needs a doctor immediately near the health clinic.,Healthcare
Urgent: gang fighting is a threat to life in the community park.,Public Safety
Report: The parade is very nice in the park.,General
gang fighting reported last night at the train station.,Public Safety
raw sewage is rotting and stinking outside my house.,Sanitation
medical emergency is out of stock at the ER.,Healthcare
passport processing is stuck for months at city hall.,Administration
water pipe leak needs urgent repair near the square.,Infrastructure
blood pressure is dropping fast in the medical ward.,Healthcare
gunshots fired reported last night in the community park.,Public Safety
Report: violent kidnapping is out of control in the community park.,Healthcare
suspicious loitering happened just now outside the mall.,Public Safety
Website layout is interesting in the park.,General
Attention: violent kidnapping is out of control at the train station.,Public Safety
Report: gang fighting reported last night in the community park.,Public Safety
Urgent: garbage pile is rotting and stinking in the residential alley.,Sanitation
Report: street lights is breaking apart on the main highway.,Infrastructure
Attention: illegal dumping is overflowing onto street near the park.,Sanitation
gunshots fired reported last night at the train station.,Public Safety
Report: medical emergency is out of stock near the health clinic.,Healthcare
official website is being delayed at city hall.,Administration
Website layout looks beautiful for everyone.,General
Report: The weather is very nice today.,General
Attention: illegal racing is extremely scary outside the mall.,Public Safety
traffic signal is dangerous for cars in the downtown area.,Infrastructure
gunshots fired is extremely scary outside the mall.,Public Safety
Report: The weather is helpful today.,General
theft in progress is a threat to life in the community park.,Public Safety
Attention: The parade looks beautiful in the park.,General
The weather is a great event for everyone.,General
clerk behavior requested a bribe at town hall.,Administration
Community festival looks beautiful this morning.,General
medical emergency is dangerously low at the ER.,Healthcare
Report: dead animal carcass is attracting rats in the residential alley.,Sanitation
The parade looks beautiful in the park.,General
The weather is a great event in the park.,General
ambulance response is critical condition at the ER.,Healthcare
street lights needs urgent repair at the intersection.,Infrastructure
official website keeps crashing at town hall.,Administration
illegal racing is out of control in the community park.,Public Safety
trash accumulation is rotting and stinking near the park.,Sanitation
The weather is a great event for everyone.,General
street lights is crumbling near the square.,Infrastructure
Urgent: illegal racing is a threat to life near Birendra Chowk.,Public Safety
The weather looks beautiful in the park.,General
theft in progress is out of control in the community park.,Public Safety
suspicious loitering happened just now near Birendra Chowk.,Public Safety
Attention: insulin stock is dropping fast near the health clinic.,Healthcare
recycling bin is leaking into drains in the residential alley.,Sanitation
trash accumulation is rotting and stinking outside my house.,Sanitation
bridge support needs urgent repair in the downtown area.,Infrastructure
Urgent: suspicious loitering is extremely scary outside the mall.,Public Safety
passport processing is stuck for months at town hall.,Administration
Attention: Website layout looks beautiful in the park.,General
Report: garbage pile is rotting and stinking behind the school.,Sanitation
medical emergency needs a doctor immediately near the health clinic.,Healthcare
